STATE_NAME,REGION6
Connecticut,1
Delaware,1
Kentucky,1
Maine,1
Maryland,1
Massachusetts,1
New Hampshire,1
New Jersey,1
New York,1
North Carolina,1
Pennsylvania,1
Rhode Island,1
Tennessee,1
Vermont,1
Virginia,1
West Virginia,1
Alabama,2
Arkansas,2
Florida,2
Georgia,2
Louisiana,2
Mississippi,2
South Carolina,2
Illinois,3
Indiana,3
Iowa,3
Kansas,3
Michigan,3
Minnesota,3
Missouri,3
Nebraska,3
North Dakota,3
Ohio,3
South Dakota,3
Wisconsin,3
Arizona,4
New Mexico,4
Oklahoma,4
Texas,4
Colorado,5
Idaho,5
Montana,5
Nevada,5
Oregon,5
Utah,5
Washington,5
Wyoming,5
California,6
