REGION6,hhSize,prop,SOURCE
1,1,0.4298853230830623,NAWS
1,2,0.17299533799858088,NAWS
1,3,0.13591431542668828,NAWS
1,4,0.1660919350293602,NAWS
1,5,0.070590080089578,NAWS
1,6,0.015574497678811998,NAWS
1,7,0.008948510693918279,NAWS
2,1,0.24956638170088696,NAWS
2,2,0.2322202475584514,NAWS
2,3,0.2011024296814835,NAWS
2,4,0.14433218475496565,NAWS
2,5,0.07869133220414506,NAWS
2,6,0.0651865551902011,NAWS
2,7,0.028900868909866165,NAWS
3,1,0.45031576401650986,NAWS
3,2,0.2291865598802814,NAWS
3,3,0.09371900980315818,NAWS
3,4,0.14150935698522263,NAWS
3,5,0.0467201907865067,NAWS
3,6,0.02280936432578353,NAWS
3,7,0.01573975420253776,NAWS
4,1,0.27978954265620565,NAWS
4,2,0.2731550231124589,NAWS
4,3,0.14017260897804013,NAWS
4,4,0.16297138066118713,NAWS
4,5,0.09203459457125353,NAWS
4,6,0.04028735149002196,NAWS
4,7,0.011589498530832692,NAWS
5,1,0.2654405351580678,NAWS
5,2,0.21513223053731517,NAWS
5,3,0.13645480981519406,NAWS
5,4,0.13694795607349702,NAWS
5,5,0.15787560904286352,NAWS
5,6,0.06639419824351397,NAWS
5,7,0.021754661129548478,NAWS
6,1,0.22474852360574202,NAWS
6,2,0.2033643978747895,NAWS
6,3,0.16643571438794155,NAWS
6,4,0.1801066091113119,NAWS
6,5,0.147011788460681,NAWS
6,6,0.0537599785039025,NAWS
6,7,0.02457298805563147,NAWS
1,1,0.28758853617970087,ACS
1,2,0.33603961329007226,ACS
1,3,0.1597911978931149,ACS
1,4,0.12868886098869262,ACS
1,5,0.055250367004062016,ACS
1,6,0.020163832176780652,ACS
1,7,0.012477592467576269,ACS
2,1,0.28554445118149446,ACS
2,2,0.3506676103041985,ACS
2,3,0.15791376527873213,ACS
2,4,0.12092445806282227,ACS
2,5,0.054557771876357505,ACS
2,6,0.019476940352968253,ACS
2,7,0.010915002943426845,ACS
3,1,0.3018105571583215,ACS
3,2,0.3484656344143799,ACS
3,3,0.14257076363727708,ACS
3,4,0.11954395958255584,ACS
3,5,0.055527836158267,ACS
3,6,0.02009925897719418,ACS
3,7,0.011981990072005066,ACS
4,1,0.2634452800658956,ACS
4,2,0.3235484585968295,ACS
4,3,0.15831741706456437,ACS
4,4,0.1366288976684638,ACS
4,5,0.07167362818178764,ACS
4,6,0.02875134728011469,ACS
4,7,0.01763497114234469,ACS
5,1,0.26426773399208175,ACS
5,2,0.3513916317425982,ACS
5,3,0.15061201520802514,ACS
5,4,0.12788071289548272,ACS
5,5,0.061334381564805106,ACS
5,6,0.026998640290766436,ACS
5,7,0.017514884306240333,ACS
6,1,0.23633400470767166,ACS
6,2,0.303036502422969,ACS
6,3,0.16746304812135365,ACS
6,4,0.15313728342977534,ACS
6,5,0.07907500058232052,ACS
6,6,0.034165887977321445,ACS
6,7,0.02678827275858865,ACS
